NODE_9_length_1107276_cov_15.5326	bin_1
NODE_22_length_760516_cov_15.8728	bin_1
NODE_35_length_558004_cov_16.4839	bin_1
NODE_85_length_315217_cov_16.0006	bin_1
NODE_143_length_191935_cov_15.9444	bin_1
NODE_187_length_149515_cov_15.3326	bin_1
NODE_266_length_100322_cov_16.0111	bin_1
NODE_374_length_68162_cov_15.8981	bin_1
NODE_613_length_40335_cov_14.6218	bin_1
NODE_852_length_27962_cov_17.0303	bin_1
NODE_6_length_1193729_cov_6.28277	bin_10
NODE_13_length_1014359_cov_6.1635	bin_10
NODE_19_length_817964_cov_6.3564	bin_10
NODE_39_length_503600_cov_6.19295	bin_10
NODE_80_length_322453_cov_6.1501	bin_10
NODE_88_length_310378_cov_6.12643	bin_10
NODE_110_length_258673_cov_6.55421	bin_10
NODE_134_length_206993_cov_6.22864	bin_10
NODE_138_length_206292_cov_6.17137	bin_10
NODE_163_length_175123_cov_6.15897	bin_10
NODE_300_length_88096_cov_6.12106	bin_10
NODE_339_length_75887_cov_6.05384	bin_10
NODE_340_length_75795_cov_6.02091	bin_10
NODE_587_length_42116_cov_5.96109	bin_10
NODE_1041_length_21500_cov_6.53286	bin_10
NODE_24_length_708503_cov_12.5261	bin_11
NODE_33_length_587059_cov_13.0842	bin_11
NODE_41_length_499710_cov_12.8782	bin_11
NODE_44_length_473954_cov_12.7365	bin_11
NODE_45_length_470661_cov_12.5631	bin_11
NODE_50_length_448231_cov_13.0502	bin_11
NODE_59_length_417228_cov_12.9304	bin_11
NODE_62_length_402149_cov_13.2686	bin_11
NODE_67_length_387985_cov_11.431	bin_11
NODE_172_length_163192_cov_13.6207	bin_11
NODE_209_length_127056_cov_12.5673	bin_11
NODE_469_length_52581_cov_12.9889	bin_11
NODE_1176_length_17967_cov_14.7384	bin_11
NODE_1360_length_14551_cov_13.2376	bin_11
NODE_75_length_338261_cov_2.93536	bin_12
NODE_98_length_286027_cov_2.8473	bin_12
NODE_122_length_229026_cov_2.77709	bin_12
NODE_128_length_215672_cov_2.78903	bin_12
NODE_153_length_182055_cov_2.83308	bin_12
NODE_204_length_133077_cov_2.85041	bin_12
NODE_227_length_116586_cov_2.81393	bin_12
NODE_244_length_108314_cov_2.89622	bin_12
NODE_285_length_93287_cov_2.76246	bin_12
NODE_288_length_91614_cov_2.49395	bin_12
NODE_303_length_86596_cov_2.59355	bin_12
NODE_305_length_85630_cov_2.76614	bin_12
NODE_342_length_75299_cov_2.80665	bin_12
NODE_343_length_75096_cov_2.73689	bin_12
NODE_352_length_73023_cov_2.58907	bin_12
NODE_396_length_64031_cov_2.89091	bin_12
NODE_424_length_58022_cov_2.63063	bin_12
NODE_427_length_57801_cov_2.49808	bin_12
NODE_431_length_57170_cov_2.54635	bin_12
NODE_432_length_56442_cov_2.37436	bin_12
NODE_449_length_54726_cov_2.94042	bin_12
NODE_458_length_53979_cov_2.76827	bin_12
